id,sex,repro,readsite,night,month,year,first_time,time_spent_action,mean_time_bout,sd_time_bout,n,,07:00 p. m.,06:00 a. m.
*989001003024614,female,non,carmen,31/05/2015,May,2015,19H 56M 3S,roosting,30049,39309.48018,2,,,
*989001003024657,female,lactating,carmen,02/06/2015,Jun,2015,19H 53M 54S,foraging,14175,18837.32465,2,,,
*989001003024712,female,lactating,carmen,23/05/2015,May,2015,20H 6M 0S,roosting,30038.5,39894.25749,2,,,
*989001003024660,female,lactating,carmen,22/05/2015,May,2015,19H 51M 55S,foraging,5325.5,7197.639926,2,,,
*989001003024657,female,lactating,carmen,02/06/2015,Jun,2015,19H 53M 54S,roosting,29881.33333,48847.65102,3,,,
*989001003024660,female,lactating,carmen,23/05/2015,May,2015,19H 47M 18S,foraging,6143.5,8378.50825,2,,,
*989001003024517,female,lactating,carmen,25/05/2015,May,2015,19H 47M 32S,roosting,29861.5,38130.73318,2,,,
*989001003024660,female,lactating,carmen,24/05/2015,May,2015,19H 42M 10S,foraging,30112,NA,1,,,
*989001003024614,female,non,carmen,28/05/2015,May,2015,19H 57M 12S,roosting,29822,41826.78032,2,,,
*989001003024660,female,lactating,carmen,25/05/2015,May,2015,19H 40M 46S,foraging,30805,NA,1,,,
*989001003024637,female,non,carmen,30/05/2015,May,2015,20H 1M 49S,roosting,29790.5,38581.8673,2,,,
*989001003024660,female,lactating,carmen,26/05/2015,May,2015,19H 44M 25S,foraging,30190,NA,1,,,
*989001003024527,female,lactating,carmen,23/05/2015,May,2015,19H 55M 22S,roosting,29722,41179.07051,2,,,
*989001003024660,female,lactating,carmen,27/05/2015,May,2015,19H 44M 30S,foraging,31785,NA,1,,,
*989001003024654,female,lactating,carmen,26/05/2015,May,2015,20H 8M 18S,roosting,29715.5,40935.11867,2,,,
*989001003024660,female,lactating,carmen,28/05/2015,May,2015,19H 48M 25S,foraging,31024,NA,1,,,
*989001003024666,female,lactating,carmen,26/05/2015,May,2015,19H 54M 49S,roosting,29715.5,39860.31636,2,,,
*989001003024660,female,lactating,carmen,29/05/2015,May,2015,19H 46M 51S,foraging,31647,NA,1,,,
